id,statement,response,evalScore,bleu,nextSentence,internalRepetition,partnerRepetition,externalRepetition,responseType,shortSafe
0,"Thats good for you, i'm not very into new tech",I am a college student and i am a college student,1,0,0.226342827,0.5,0,0,Continuer,1
0,I am go to gym and live on donations,I am a vegan and i am in the midwest,1,0.427,0.952767372,0.2,0.1,0.1,Statement,1
0,So vegan... i have dogs maybe i should told then that they may eat cheap salads insted of meat,I would not mind having them in the office that would be hard for me,1,0.135,0.762409866,0.1,0,0,Clarify,1
0,Dogs or vegan in office?,I am a vegetarian so i am vegan,1,0.206,0.997012019,0.2,0,0,Statement,1
0,Strange answer,I guess i just do not know what to ps4 experience with.,1,0,0.233171493,0.1,0,0,Reject,1
18,Hi,"Hello. Uh, I'm Susan's mother.",2,0,0.959828556,0,0,0,nAnswer,1
18,Where is susan?,"Um, I  I have to talk to Edie.",2,0,0.067721017,0.2,0,0,Statement,1
18,Where do you live?,I I'm building a new house.,2,0,0.9233917,0,0,0,nAnswer,1
18,I live in colorado.,"Oh, I... I go to New York.",2,0.221,0.615712464,0.1,0,0,Clarify,1
18,I like rock climbing.,"Uh, II was thinking more along the lines of... Camping trip.",2,0,0.150319055,0,0,0,Clarify,1
18,What do you like to do.,"In Cyprus? I'm on a log, and you're in Cyprus?",2,0,0.044999689,0.2,0,0,nAnswer,1
18,Lol,"Oh, I... I have a place in Manhattan.",2,0,0.118264325,0.1,0,0,Statement,1
18,Random answers.,"WHAT ARE YOU, A native OR SOMETH ing?",2,0,0.700658858,0,0,0,whQuestion,1
19,My brother likes them too.,Do you have any siblings?,4,0,0.557497263,0,0,0,ynQuestion,1
19,"Yeah, and you?","I am good, just listening to some music",4,0,0.696101725,0,0,0,Statement,1
19,What kind of music?,"Country music, country, country, jazz",4,0.266,0.966044426,0.4,0,0,Statement,1
19,Do you have dogs?,"Yes, i have two dogs, and a cat.",4,0.244,0.999396801,0,0,0,yAnswer,1
19,"Cool, I love dogs. But i have siblings instead...","I have two brothers and a sister, and a sister.",4,0.386,0.967212617,0.3,0.1,0,nAnswer,1
19,Where do you live?,I live in the midwest,4,0.266,0.999349892,0,0,0,Statement,1
19,I live in alabama,"I live in alabama, where are you from?",4,0.68,0.999887228,0,1,0.1,whQuestion,1
21,hello how are you,/start,2,0,0.049513768,0,0,0,Statement,0
21,are you ok?,"i love animals , i have a dog , and a dog .",2,0,0.676481009,0.3,0,0,Statement,1
21,i have a dog too,"i see , i am a black belt , so i can not say that , but i am not sure .",2,0.16,0.770128965,0.3,0,0,Statement,1
21,i enjoy american sports,"that is cool , i am a dancer , and i am a teacher , and you ?",2,0.153,0.124777757,0.3,0,0,Statement,1
21,i am working in a company for 15 years,"i am a black belt , so i am a fan of it , but i am not sure .",2,0.324,0.955026805,0.3,0.1,0,nAnswer,1
22,Hi,"i like coffee , but i like coffee too",2,0,0.876414359,0.4,0,0,Statement,1
22,I like drinking tea while reading some books,"i like red , reminds me of summer time , which is why i hate it .",2,0.324,0.824888051,0.1,0.1,0.1,nAnswer,1
22,So you like it or hate it?,"i like mountain climbing , but i also like to bike .",2,0.183,0.013435697,0.2,0,0.1,Clarify,1
22,Where do you live? Close to mountains?,"i like to draw , and draw , and draw , and draw , and draw , and paint , and draw , and draw , and paint .",2,0.127,0.200723886,0.7,0,0,Statement,1
22,I like movies,"i like to draw , but i also like to draw , and draw , and draw , and paint , and draw , and paint .",2,0.269,0.971723735,0.6,0.5,0.1,Statement,1
22,What is your job,"i like mountain climbing , but i also like to bike .",2,0,0.306801021,0.2,0,0.1,Clarify,1
26,Is it interesting?,i think it is . i am not sure if i had to do that .,3,0.182,0.976813436,0.1,0,0,Statement,1
26,Do what?,i am not sure . i am a very experienced person .,3,0,0.331889868,0.2,0,0,nAnswer,1
26,What are you doing now?,i am not sure . i am a little crazy person .,3,0,0.562429547,0.2,0,0,Clarify,1
26,Me too. I am moving my cup of tea with my mind. Doctors say i am crazy and imagine things,that sounds like a plan . do you have any hobbies ?,3,0,0.090301618,0,0,0,ynQuestion,1
26,Not really... i spend a lot of time at the hospital. And you?,i am not sure what that means . i am more of a homebody .,3,0.225,0.918399036,0.2,0,0,Statement,1
26,Do you like music?,i like to play the piano and have a good time,3,0.174,0.990311861,0,0,0,Statement,1
26,Cool. I should play piano too,"i can not say that , i have tons of friends that could be popular",3,0.153,0.048951998,0.1,0,0,Reject,1
27,metallica,"MUSIC: ""Do You Hear The People Sing"" from Les Miserables.",1,0,0.127867475,0,0,0,ynQuestion,1
27,i prefer metal music,YOUNG AMERICANS: (SINGING) Every time I sing my song,1,0.193,0.076068655,0,0,0,Clarify,1
27,what is your job,MUSIC PLAYS What is that sound?,1,0.508,0.14645572,0,0.3,0.1,whQuestion,1
27,are you a musician,"'The Jazz Singer,' that's what.",1,0,0.755540133,0,0,0,Statement,1
27,how old are you?,"'The Jazz Singer,' that's what.",1,0,0.008097099,0,0,0,Statement,1
27,how old are you?,(In Swedish) We have a visitor... Oskar.,1,0,0.019598326,0,0,0,Statement,1
27,are you a musician?,"Cabaret Voltaire, those people.",1,0,0.269020706,0,0,0,Statement,1
28,How old are you?,"Here, I'II put little feet on my hamburger.",2,0,0.087671198,0,0,0,Emphasis,1
28,Not the hamburger!,YOU DON'T like STEAK?,2,0,0.854394436,0,0,0,Reject,1
28,Not really...,"On Wednesday, I have schnitzel, peas and carrots.",2,0,0.028339639,0,0,0,Statement,1
28,Are you a cook or what?,Unusual. But I think I like it. It's very healthy.,2,0,0.563903272,0.1,0,0,Statement,1
28,Can we talk about anything else? Food is boooring,"At Kang Min Ho's house, there are only mussels, so I used them to make seaweed soup.",2,0,0.26391387,0,0,0,Clarify,1
28,Horses. I like horses. And you?,"See, I have to plant my tree.",2,0.221,0.632972062,0,0,0,Statement,1
28,What tree?,"""What To Do If You Meet a Mountain Lion""?",2,0.193,0.030674877,0,0,0,Clarify,1
28,Cook it,"Boel, Seeds and Corn in Hamelen.",2,0,0.293995708,0,0,0,Statement,1
29,hi,hi !,2,0.562,0.997671783,0,0,0,Greet,1
29,are you ok?,i am good . i am just getting ready to go to the gym .,2,0,0.994714677,0.2,0,0,Statement,1
29,i dont like sports,"i love to eat fish , i am not a fan of fish though .",2,0.159,0.905779541,0.2,0,0,nAnswer,1
29,i like riding car,i like to ride horses,2,0.562,0.99430877,0,0.3,0.1,Statement,1
29,i have a rolls royce,"i have never tried a good one , but i have to drive a lot .",2,0.358,0.943642616,0.2,0.2,0.1,Statement,1
30,hey,The Ferrari.  For a week.,1,0,0.013934677,0,0,0,Statement,1
30,what?,"My God, I can't move my wheels.",1,0,0.800443828,0.1,0,0,Clarify,1
30,why? are you ok,"Ok, Er Fu, start the car!",1,0.24,0.586046398,0,0,0,Clarify,1
30,who is er fu,Kong Yuk Ming Do you know the man standing there?,1,0,0.187683895,0,0,0,Clarify,1
30,who's kong yuk ming,Kong Yuk Ming Do you know the man standing there?,1,0.508,0.999961495,0,0.7,0.2,Clarify,1
30,no,"Kong Yuen Sang, you bastard",1,0,0.103610717,0,0,0,whQuestion,1
30,what is going on,"Our Hang Bok's mom, Uhm Ji Sook.",1,0,0.718534172,0,0,0,Other,1
30,are you korean?,"Shin Eun Ah, it's not you.",1,0.24,0.529767275,0,0,0,Statement,1
30,what are you talking about,Are Gu Ae Jung and you filming everything about your celebrity life?,1,0.218,0.766914129,0,0,0,whQuestion,1
30,no,Ho Chi Minh is a son of a bitch!,1,0,0.664348543,0.1,0,0,nAnswer,1
32,hey there,/start,1,0,0.074033342,0,0,0,Statement,1
32,"talk to me, i need some rest","that's cool , i am a vet , i have a son , and also son , and son , and son , and son .",1,0.131,0.048085935,0.5,0,0,nAnswer,1
32,"oh, i have no kids","i like to sing , and listen to folk music .",1,0.193,0.976083755,0.1,0,0,Statement,1
32,i like playing ping pong,"i am a bit of a piano player , but i am not much of a musician , but i do .",1,0.131,0.091868527,0.4,0,0,Reject,1
32,do you like sports,hey there,1,0,0.010380166,0,0,0,Greet,0
32,are you at work now,"talk to me, i need some rest",1,0,0.889004409,0,0,0.2,Statement,1
33,Hello,"Hello, how are you?",4,0.302,0.998835504,0,0,0,whQuestion,1
33,"Pretty fine, and you?","Good, just finished watching some tv",4,0,0.906883121,0,0,0,Other,1
33,"Funny, because i too just finished doing same",What is your favorite color?,4,0,0.198791549,0,0,0,whQuestion,1
33,"I think it's black, you know, like black in olives, and yours favourite?",I love the band rose and the other one i love it.,4,0.182,0.551967442,0.2,0,0,Statement,1
33,"Oh i like thr band called Who, so what music do you generally listen?","I like music, mostly pop music.",4,0.148,0.973860323,0.2,0.1,0,Clarify,1
33,"Good, and where do you work?",I work at a local shelter,4,0.24,0.99936527,0,0,0,Statement,1
33,"Must be very intresting job, i work at local supermarket ani i hate it",I work at a grocery store,4,0.176,0.955257297,0,0.2,0,Statement,1
33,You contradicted yourself just now,"I am good, just got done reading",4,0.221,0.010288291,0,0,0,Statement,1
33,Ypu mean my message?,I am not sure what you mean,4,0.221,0.768128157,0,0,0,Clarify,1
33,"Okay, i should go, bye",I will have to go to the hospital,4,0.244,0.763316393,0.1,0,0,Statement,1
34,I'm a party animal myself.,i will be using that shirt .,4,0,0.018692456,0,0,0,Clarify,1
34,Do you own any pets? I own a cat and a dog.,i have no idea . i am more of a cat person .,4,0.371,0.987774432,0.1,0.1,0.1,nAnswer,1
34,Why don't you like dogs?,"i like dogs , but i have not had one yet .",4,0.386,0.998472273,0.1,0.2,0,Reject,1
34,Have you ever had a cat?,i have no idea . i am more of a cat person .,4,0.406,0.998022556,0.1,0.2,0.1,nAnswer,1
34,Do you have any fear? I am deathly afraid of heights.,i can not say that . i am afraid of getting slim .,4,0.519,0.983397543,0.1,0.2,0.1,Reject,1
34,Are you afraid of slim persons?,well i can tell you i am going to do that,4,0.174,0.606767595,0.1,0,0,Statement,1
37,Hello,/start,5,0,0.041944757,0,0,0,Statement,1
37,Hello?,"i have a friend , and i am a fan of reading , and i love to watch movies",5,0,0.96007508,0.2,0,0,Continuer,1
37,"Intresting, i have a rather big family and i love dogs","that is cool , i am in the basement , and i am a teacher , so i don't have time for friends",5,0.339,0.649400592,0.1,0.1,0.1,Statement,1
37,That rather sad,"i am a fan of meat , but i like to eat healthy , and eat more of them .",5,0,0.425758004,0.2,0,0,nAnswer,1
37,"I am not a big fan of this 'healthy' food, i am rather fond of tacos though","i am a fan of football , but i am not sure if i could say that .",5,0.568,0.950969875,0.2,0.2,0.1,nAnswer,1
37,My passion is dogs,"that is cool , i am in the basement , and i am a housewife , and i am a teacher , you ?",5,0.131,0.080135718,0.3,0,0.1,Statement,1
37,"I am living in Alabama, have a one big brother and three sisters","i am a fan of meat , but i am not sure .",5,0.339,0.814881146,0.2,0.1,0.1,nAnswer,1
49,"I wanna talk in spanish with u, to make my language skills better.",I speak english and spanish,3,0.064,0.987796605,0,0,0,Continuer,1
49,"thats great, where do you learn spanish?","I teach spanish, spanish.",3,0.143,0.999024868,0.2,0,0,Clarify,1
